tag,to,from,weight
3841-10002fg,3841-6042473-10002fg,3857-6042473-10002fg,243252
3841-10002fg,3857-6042473-10002fg,Terminal_3857-6042473-10002fg_Terminal,243252
3841-10174fg,3841-10002-10002,Terminal_3841-10002-10002_Terminal,12527
3841-10174fg,3841-6042569-10174fg,3841-10002-10002,12527
3841-10174fg,3841-6042569-10174fg,3857-6042569-10174fg,6960
3841-10174fg,3841-6042569-10174fg,3882-6042569-10174fg,1393
3841-10174fg,3857-6042569-10174fg,Terminal_3857-6042569-10174fg_Terminal,6960
3841-10174fg,3882-6042569-10174fg,Terminal_3882-6042569-10174fg_Terminal,1393
3841-10196fg,3803-4071-4071,Terminal_3803-4071-4071_Terminal,3769
3841-10196fg,3811-1653-1653,Terminal_3811-1653-1653_Terminal,284
3841-10196fg,3811-5008536-9506fg,3811-1653-1653,284
3841-10196fg,3811-5008536-9506fg,3811-9527-9527,394
3841-10196fg,3811-6082096-6082096,3811-5008536-9506fg,678
3841-10196fg,3811-9506-9506,3811-6082096-6082096,678
3841-10196fg,3811-9527-9527,Terminal_3811-9527-9527_Terminal,394
3841-10196fg,3841-2502-2502,Terminal_3841-2502-2502_Terminal,569
3841-10196fg,3841-4071-4071,3803-4071-4071,3769
3841-10196fg,3841-5009203-10196fg,3841-2502-2502,569
3841-10196fg,3841-5009203-10196fg,3841-4071-4071,3769
3841-10196fg,3841-5009203-10196fg,3841-5947-5947,13886
3841-10196fg,3841-5009203-10196fg,3841-9506-9506,678
3841-10196fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,13886
3841-10196fg,3841-6002082-10196fg,3841-5009203-10196fg,868
3841-10196fg,3841-6002087-10196fg,3841-5009203-10196fg,18034
3841-10196fg,3841-9506-9506,3811-9506-9506,678
3841-10227fg,3811-10227-10227,Terminal_3811-10227-10227_Terminal,687
3841-10227fg,3811-6042607-10227fg,3811-10227-10227,687
3841-10227fg,3841-6042607-10227fg,3811-6042607-10227fg,690
3841-10283fg,3811-18468-18468,Terminal_3811-18468-18468_Terminal,287
3841-10283fg,3811-5002640-5002640,3835-5002640-5002640,21
3841-10283fg,3811-5007682-8593fg,3811-5002640-5002640,21
3841-10283fg,3811-5007682-8593fg,3811-9570-9570,11
3841-10283fg,3811-5009287-10283fg,3811-18468-18468,287
3841-10283fg,3811-5009287-10283fg,3811-8593-8593,32
3841-10283fg,3811-6042660-10283fg,3811-5009287-10283fg,269
3841-10283fg,3811-6042663-10283fg,3811-5009287-10283fg,50
3841-10283fg,3811-8593-8593,3811-5007682-8593fg,32
3841-10283fg,3811-9570-9570,Terminal_3811-9570-9570_Terminal,11
3841-10283fg,3835-1718-1718,Terminal_3835-1718-1718_Terminal,5
3841-10283fg,3835-1861-1861,Terminal_3835-1861-1861_Terminal,8
3841-10283fg,3835-5002640-5002640,3835-1718-1718,5
3841-10283fg,3835-5002640-5002640,3835-1861-1861,8
3841-10283fg,3835-5002640-5002640,3835-9570-9570,8
3841-10283fg,3835-9570-9570,Terminal_3835-9570-9570_Terminal,8
3841-10283fg,3841-6042660-10283fg,3811-6042660-10283fg,270
3841-10283fg,3841-6042663-10283fg,3811-6042663-10283fg,52
3841-1036fg,3803-2187-2187,Terminal_3803-2187-2187_Terminal,1091
3841-1036fg,3803-4102-4102,Terminal_3803-4102-4102_Terminal,205
3841-1036fg,3841-1668-1668,Terminal_3841-1668-1668_Terminal,10189
3841-1036fg,3841-1690-1690,3853-1690-1690,1025
3841-1036fg,3841-2187-2187,3803-2187-2187,1091
3841-1036fg,3841-2187-2187,Terminal_3841-2187-2187_Terminal,2189
3841-1036fg,3841-2458-2458,Terminal_3841-2458-2458_Terminal,2050
3841-1036fg,3841-4102-4102,3803-4102-4102,205
3841-1036fg,3841-4102-4102,Terminal_3841-4102-4102_Terminal,1804
3841-1036fg,3841-5001035-1036fg,3841-1668-1668,10189
3841-1036fg,3841-5001035-1036fg,3841-1690-1690,1025
3841-1036fg,3841-5001035-1036fg,3841-2187-2187,3280
3841-1036fg,3841-5001035-1036fg,3841-2458-2458,2050
3841-1036fg,3841-5001035-1036fg,3841-4102-4102,2009
3841-1036fg,3841-5001035-1036fg,3841-9570-9570,1947
3841-1036fg,3841-9570-9570,Terminal_3841-9570-9570_Terminal,1947
3841-1036fg,3853-1690-1690,Terminal_3853-1690-1690_Terminal,1025
3841-10401fg,3803-2277-2277,3811-2277-2277,7
3841-10401fg,3803-8590-8590,3811-8590-8590,2407
3841-10401fg,3803-8590-8590,Terminal_3803-8590-8590_Terminal,3473
3841-10401fg,3811-2277-2277,Terminal_3811-2277-2277_Terminal,7
3841-10401fg,3811-8590-8590,Terminal_3811-8590-8590_Terminal,8781
3841-10401fg,3841-1720-1720,3857-1720-1720,9809
3841-10401fg,3841-2277-2277,3803-2277-2277,7
3841-10401fg,3841-5009401-10401fg,3841-1720-1720,9809
3841-10401fg,3841-5009401-10401fg,3841-2277-2277,7
3841-10401fg,3841-5009401-10401fg,3841-5947-5947,59664
3841-10401fg,3841-5009401-10401fg,3841-8590-8590,12254
3841-10401fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,59664
3841-10401fg,3841-6042783-10401fg,3841-5009401-10401fg,798
3841-10401fg,3841-6042788-10401fg,3841-5009401-10401fg,10990
3841-10401fg,3841-6098751-10401fg,3841-5009401-10401fg,4044
3841-10401fg,3841-8590-8590,3803-8590-8590,5880
3841-10401fg,3841-8590-8590,3811-8590-8590,6374
3841-10401fg,3857-1720-1720,Terminal_3857-1720-1720_Terminal,9809
3841-10551fg,3803-4071-4071,Terminal_3803-4071-4071_Terminal,2562
3841-10551fg,3811-1653-1653,Terminal_3811-1653-1653_Terminal,126
3841-10551fg,3811-5008536-9506fg,3811-1653-1653,126
3841-10551fg,3811-5008536-9506fg,3811-9527-9527,168
3841-10551fg,3811-6082096-6082096,3811-5008536-9506fg,294
3841-10551fg,3811-9506-9506,3811-6082096-6082096,294
3841-10551fg,3811-9527-9527,Terminal_3811-9527-9527_Terminal,168
3841-10551fg,3841-1362-1362,Terminal_3841-1362-1362_Terminal,42
3841-10551fg,3841-2323-2323,Terminal_3841-2323-2323_Terminal,105
3841-10551fg,3841-2502-2502,Terminal_3841-2502-2502_Terminal,42
3841-10551fg,3841-3350-3350,Terminal_3841-3350-3350_Terminal,21
3841-10551fg,3841-4071-4071,3803-4071-4071,2562
3841-10551fg,3841-5009548-10551fg,3841-1362-1362,42
3841-10551fg,3841-5009548-10551fg,3841-2323-2323,105
3841-10551fg,3841-5009548-10551fg,3841-2502-2502,42
3841-10551fg,3841-5009548-10551fg,3841-3350-3350,21
3841-10551fg,3841-5009548-10551fg,3841-4071-4071,2562
3841-10551fg,3841-5009548-10551fg,3841-5947-5947,14973
3841-10551fg,3841-5009548-10551fg,3841-9506-9506,294
3841-10551fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,14973
3841-10551fg,3841-6042864-10551fg,3841-5009548-10551fg,18039
3841-10551fg,3841-9506-9506,3811-9506-9506,294
3841-10577fg,3803-4071-4071,Terminal_3803-4071-4071_Terminal,3125
3841-10577fg,3811-1653-1653,Terminal_3811-1653-1653_Terminal,150
3841-10577fg,3811-5008536-9506fg,3811-1653-1653,150
3841-10577fg,3811-5008536-9506fg,3811-9527-9527,225
3841-10577fg,3811-6082096-6082096,3811-5008536-9506fg,375
3841-10577fg,3811-9506-9506,3811-6082096-6082096,375
3841-10577fg,3811-9527-9527,Terminal_3811-9527-9527_Terminal,225
3841-10577fg,3841-1362-1362,Terminal_3841-1362-1362_Terminal,50
3841-10577fg,3841-2323-2323,Terminal_3841-2323-2323_Terminal,125
3841-10577fg,3841-2502-2502,Terminal_3841-2502-2502_Terminal,1050
3841-10577fg,3841-3350-3350,Terminal_3841-3350-3350_Terminal,25
3841-10577fg,3841-4071-4071,3803-4071-4071,3125
3841-10577fg,3841-5009574-10577fg,3841-1362-1362,50
3841-10577fg,3841-5009574-10577fg,3841-2323-2323,125
3841-10577fg,3841-5009574-10577fg,3841-2502-2502,1050
3841-10577fg,3841-5009574-10577fg,3841-3350-3350,25
3841-10577fg,3841-5009574-10577fg,3841-4071-4071,3125
3841-10577fg,3841-5009574-10577fg,3841-5947-5947,17225
3841-10577fg,3841-5009574-10577fg,3841-9506-9506,375
3841-10577fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,17225
3841-10577fg,3841-6042884-10577fg,3841-5009574-10577fg,21975
3841-10577fg,3841-9506-9506,3811-9506-9506,375
3841-10664fg,3835-2502-2502,Terminal_3835-2502-2502_Terminal,153
3841-10664fg,3835-5001671-5001671,3835-5006219-5006219,408
3841-10664fg,3835-5001671-5001671,3835-5947-5947,39
3841-10664fg,3835-5001671-5001671,3835-9035-9035,124
3841-10664fg,3835-5003911-5003911,3835-2502-2502,153
3841-10664fg,3835-5003911-5003911,3835-5001671-5001671,571
3841-10664fg,3835-5003911-5003911,3835-5947-5947,327
3841-10664fg,3835-5003911-5003911,3835-6-6,216
3841-10664fg,3835-5003911-5003911,3835-6762-6762,454
3841-10664fg,3835-5003911-5003911,3835-9247-9247,15
3841-10664fg,3835-5003911-5003911,3835-9510-9510,24
3841-10664fg,3835-5006219-5006219,3835-5947-5947,120
3841-10664fg,3835-5006219-5006219,3835-8940-8940,288
3841-10664fg,3835-5947-5947,Terminal_3835-5947-5947_Terminal,486
3841-10664fg,3835-6-6,Terminal_3835-6-6_Terminal,216
3841-10664fg,3835-6077640-6077640,3835-5003911-5003911,1760
3841-10664fg,3835-6762-6762,Terminal_3835-6762-6762_Terminal,454
3841-10664fg,3835-8940-8940,Terminal_3835-8940-8940_Terminal,288
3841-10664fg,3835-9035-9035,Terminal_3835-9035-9035_Terminal,124
3841-10664fg,3835-9247-9247,Terminal_3835-9247-9247_Terminal,15
3841-10664fg,3835-9510-9510,Terminal_3835-9510-9510_Terminal,24
3841-10664fg,3841-20829-20829,Terminal_3841-20829-20829_Terminal,9
3841-10664fg,3841-2323-2323,Terminal_3841-2323-2323_Terminal,3600
3841-10664fg,3841-3467-3467,Terminal_3841-3467-3467_Terminal,720
3841-10664fg,3841-4296-4296,3841-6077640-6077640,1760
3841-10664fg,3841-5009659-10664fg,3841-20829-20829,9
3841-10664fg,3841-5009659-10664fg,3841-2323-2323,3600
3841-10664fg,3841-5009659-10664fg,3841-3467-3467,720
3841-10664fg,3841-5009659-10664fg,3841-4296-4296,1760
3841-10664fg,3841-5009659-10664fg,3841-6697-6697,5760
3841-10664fg,3841-5009659-10664fg,3841-9570-9570,12159
3841-10664fg,3841-6041326-6697fg,3853-6041326-6697fg,5760
3841-10664fg,3841-6042946-10664fg,3841-5009659-10664fg,24008
3841-10664fg,3841-6077640-6077640,3835-6077640-6077640,1760
3841-10664fg,3841-6697-6697,3841-6041326-6697fg,5760
3841-10664fg,3841-9570-9570,Terminal_3841-9570-9570_Terminal,12159
3841-10664fg,3853-6041326-6697fg,Terminal_3853-6041326-6697fg_Terminal,5760
3841-10723fg,3835-2133-2133,Terminal_3835-2133-2133_Terminal,20353
3841-10723fg,3835-5009714-10723fg,3835-2133-2133,20353
3841-10723fg,3835-5009714-10723fg,3835-5947-5947,54819
3841-10723fg,3835-5009714-10723fg,3835-7669-7669,12050
3841-10723fg,3835-5009714-10723fg,3835-9184-9184,39
3841-10723fg,3835-5947-5947,Terminal_3835-5947-5947_Terminal,54819
3841-10723fg,3835-7669-7669,Terminal_3835-7669-7669_Terminal,12050
3841-10723fg,3835-9184-9184,Terminal_3835-9184-9184_Terminal,39
3841-10723fg,3841-5009714-10723fg,3835-5009714-10723fg,87261
3841-10775fg,3841-6043021-10775fg,3882-6043021-10775fg,50
3841-10775fg,3882-6043021-10775fg,Terminal_3882-6043021-10775fg_Terminal,50
3841-10850fg,3803-4071-4071,Terminal_3803-4071-4071_Terminal,1742
3841-10850fg,3809-3478-3478,Terminal_3809-3478-3478_Terminal,26
3841-10850fg,3811-1653-1653,Terminal_3811-1653-1653_Terminal,58
3841-10850fg,3811-5008536-9506fg,3811-1653-1653,58
3841-10850fg,3811-5008536-9506fg,3811-9527-9527,82
3841-10850fg,3811-6082096-6082096,3811-5008536-9506fg,140
3841-10850fg,3811-9506-9506,3811-6082096-6082096,140
3841-10850fg,3811-9527-9527,Terminal_3811-9527-9527_Terminal,82
3841-10850fg,3841-3350-3350,Terminal_3841-3350-3350_Terminal,13
3841-10850fg,3841-3478-3478,3809-3478-3478,26
3841-10850fg,3841-3478-3478,Terminal_3841-3478-3478_Terminal,155
3841-10850fg,3841-4071-4071,3803-4071-4071,1742
3841-10850fg,3841-5009838-10850fg,3841-3350-3350,13
3841-10850fg,3841-5009838-10850fg,3841-3478-3478,181
3841-10850fg,3841-5009838-10850fg,3841-4071-4071,1742
3841-10850fg,3841-5009838-10850fg,3841-9506-9506,140
3841-10850fg,3841-5009838-10850fg,3841-9570-9570,6144
3841-10850fg,3841-6112038-10850fg,3841-5009838-10850fg,2420
3841-10850fg,3841-9506-9506,3811-9506-9506,140
3841-10850fg,3841-9570-9570,Terminal_3841-9570-9570_Terminal,6144
3841-10853fg,3803-4071-4071,Terminal_3803-4071-4071_Terminal,19828
3841-10853fg,3811-1653-1653,Terminal_3811-1653-1653_Terminal,663
3841-10853fg,3811-5008536-9506fg,3811-1653-1653,663
3841-10853fg,3811-5008536-9506fg,3811-9527-9527,928
3841-10853fg,3811-6082096-6082096,3811-5008536-9506fg,1591
3841-10853fg,3811-9506-9506,3811-6082096-6082096,1591
3841-10853fg,3811-9527-9527,Terminal_3811-9527-9527_Terminal,928
3841-10853fg,3841-2502-2502,Terminal_3841-2502-2502_Terminal,1122
3841-10853fg,3841-3350-3350,Terminal_3841-3350-3350_Terminal,142
3841-10853fg,3841-4071-4071,3803-4071-4071,19828
3841-10853fg,3841-5009841-10853fg,3841-2502-2502,1122
3841-10853fg,3841-5009841-10853fg,3841-3350-3350,142
3841-10853fg,3841-5009841-10853fg,3841-4071-4071,19828
3841-10853fg,3841-5009841-10853fg,3841-9506-9506,1591
3841-10853fg,3841-5009841-10853fg,3841-9570-9570,70847
3841-10853fg,3841-6103962-10853fg,3841-5009841-10853fg,4279
3841-10853fg,3841-9506-9506,3811-9506-9506,1591
3841-10853fg,3841-9570-9570,Terminal_3841-9570-9570_Terminal,70847
3841-10859fg,3835-1966-1966,Terminal_3835-1966-1966_Terminal,1195
3841-10859fg,3835-2502-2502,Terminal_3835-2502-2502_Terminal,1134
3841-10859fg,3835-5001670-5001670,3835-1966-1966,1195
3841-10859fg,3835-5001670-5001670,3835-2502-2502,1134
3841-10859fg,3835-5001670-5001670,3835-5947-5947,2852
3841-10859fg,3835-5001670-5001670,3835-9510-9510,47
3841-10859fg,3835-5947-5947,Terminal_3835-5947-5947_Terminal,2852
3841-10859fg,3835-6077616-6077616,3835-5001670-5001670,5228
3841-10859fg,3835-9510-9510,Terminal_3835-9510-9510_Terminal,47
3841-10859fg,3841-1688-1688,3841-6077616-6077616,5228
3841-10859fg,3841-2323-2323,Terminal_3841-2323-2323_Terminal,1057
3841-10859fg,3841-2502-2502,Terminal_3841-2502-2502_Terminal,1583
3841-10859fg,3841-5009846-10859fg,3841-1688-1688,5228
3841-10859fg,3841-5009846-10859fg,3841-2323-2323,1057
3841-10859fg,3841-5009846-10859fg,3841-2502-2502,1583
3841-10859fg,3841-5009846-10859fg,3841-9570-9570,18541
3841-10859fg,3841-6077616-6077616,3835-6077616-6077616,5228
3841-10859fg,3841-6103964-10859fg,3841-5009846-10859fg,5610
3841-10859fg,3841-9570-9570,Terminal_3841-9570-9570_Terminal,18541
3841-10877fg,3811-4072-4072,Terminal_3811-4072-4072_Terminal,35
3841-10877fg,3835-1966-1966,Terminal_3835-1966-1966_Terminal,41
3841-10877fg,3835-2502-2502,Terminal_3835-2502-2502_Terminal,39
3841-10877fg,3835-5001670-5001670,3835-1966-1966,41
3841-10877fg,3835-5001670-5001670,3835-2502-2502,39
3841-10877fg,3835-5001670-5001670,3835-5947-5947,98
3841-10877fg,3835-5001670-5001670,3835-9510-9510,1
3841-10877fg,3835-5947-5947,Terminal_3835-5947-5947_Terminal,98
3841-10877fg,3835-6077616-6077616,3835-5001670-5001670,179
3841-10877fg,3835-9510-9510,Terminal_3835-9510-9510_Terminal,1
3841-10877fg,3841-1688-1688,3841-6077616-6077616,179
3841-10877fg,3841-2147-2147,Terminal_3841-2147-2147_Terminal,1
3841-10877fg,3841-2323-2323,Terminal_3841-2323-2323_Terminal,43
3841-10877fg,3841-4072-4072,3811-4072-4072,35
3841-10877fg,3841-5009864-10877fg,3841-1688-1688,179
3841-10877fg,3841-5009864-10877fg,3841-2147-2147,1
3841-10877fg,3841-5009864-10877fg,3841-2323-2323,43
3841-10877fg,3841-5009864-10877fg,3841-4072-4072,35
3841-10877fg,3841-5009864-10877fg,3841-5947-5947,826
3841-10877fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,826
3841-10877fg,3841-6077616-6077616,3835-6077616-6077616,179
3841-10877fg,3841-6101555-10877fg,3841-5009864-10877fg,1084
3841-10930fg,3803-4071-4071,Terminal_3803-4071-4071_Terminal,1512
3841-10930fg,3811-1653-1653,Terminal_3811-1653-1653_Terminal,126
3841-10930fg,3811-4246-4246,Terminal_3811-4246-4246_Terminal,495
3841-10930fg,3811-5008536-9506fg,3811-1653-1653,126
3841-10930fg,3811-5008536-9506fg,3811-9527-9527,180
3841-10930fg,3811-6082096-6082096,3811-5008536-9506fg,306
3841-10930fg,3811-9506-9506,3811-6082096-6082096,306
3841-10930fg,3811-9527-9527,Terminal_3811-9527-9527_Terminal,180
3841-10930fg,3841-4071-4071,3803-4071-4071,1512
3841-10930fg,3841-4246-4246,3811-4246-4246,495
3841-10930fg,3841-5009915-10930fg,3841-4071-4071,1512
3841-10930fg,3841-5009915-10930fg,3841-4246-4246,495
3841-10930fg,3841-5009915-10930fg,3841-5947-5947,6021
3841-10930fg,3841-5009915-10930fg,3841-9506-9506,306
3841-10930fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,6021
3841-10930fg,3841-6007304-10930fg,3841-5009915-10930fg,8334
3841-10930fg,3841-9506-9506,3811-9506-9506,306
3841-10932fg,3803-4071-4071,Terminal_3803-4071-4071_Terminal,4413
3841-10932fg,3811-1653-1653,Terminal_3811-1653-1653_Terminal,373
3841-10932fg,3811-5008536-9506fg,3811-1653-1653,373
3841-10932fg,3811-5008536-9506fg,3811-9527-9527,508
3841-10932fg,3811-6082096-6082096,3811-5008536-9506fg,881
3841-10932fg,3811-9506-9506,3811-6082096-6082096,881
3841-10932fg,3811-9527-9527,Terminal_3811-9527-9527_Terminal,508
3841-10932fg,3841-2323-2323,Terminal_3841-2323-2323_Terminal,724
3841-10932fg,3841-2502-2502,Terminal_3841-2502-2502_Terminal,2427
3841-10932fg,3841-4071-4071,3803-4071-4071,4413
3841-10932fg,3841-5009917-10932fg,3841-2323-2323,724
3841-10932fg,3841-5009917-10932fg,3841-2502-2502,2427
3841-10932fg,3841-5009917-10932fg,3841-4071-4071,4413
3841-10932fg,3841-5009917-10932fg,3841-9506-9506,881
3841-10932fg,3841-5009917-10932fg,3841-9570-9570,15819
3841-10932fg,3841-6043134-10932fg,3841-5009917-10932fg,8947
3841-10932fg,3841-6043139-10932fg,3841-5009917-10932fg,15317
3841-10932fg,3841-9506-9506,3811-9506-9506,881
3841-10932fg,3841-9570-9570,Terminal_3841-9570-9570_Terminal,15819
3841-10961fg,3803-4071-4071,Terminal_3803-4071-4071_Terminal,652
3841-10961fg,3811-1653-1653,Terminal_3811-1653-1653_Terminal,56
3841-10961fg,3811-5008536-9506fg,3811-1653-1653,56
3841-10961fg,3811-5008536-9506fg,3811-9527-9527,76
3841-10961fg,3811-6082096-6082096,3811-5008536-9506fg,132
3841-10961fg,3811-9506-9506,3811-6082096-6082096,132
3841-10961fg,3811-9527-9527,Terminal_3811-9527-9527_Terminal,76
3841-10961fg,3835-1966-1966,Terminal_3835-1966-1966_Terminal,4
3841-10961fg,3835-2502-2502,Terminal_3835-2502-2502_Terminal,4
3841-10961fg,3835-5001670-5001670,3835-1966-1966,4
3841-10961fg,3835-5001670-5001670,3835-2502-2502,4
3841-10961fg,3835-5001670-5001670,3835-5947-5947,12
3841-10961fg,3835-5947-5947,Terminal_3835-5947-5947_Terminal,12
3841-10961fg,3835-6077616-6077616,3835-5001670-5001670,20
3841-10961fg,3841-1688-1688,3841-6077616-6077616,20
3841-10961fg,3841-4071-4071,3803-4071-4071,652
3841-10961fg,3841-5009946-10961fg,3841-1688-1688,20
3841-10961fg,3841-5009946-10961fg,3841-4071-4071,652
3841-10961fg,3841-5009946-10961fg,3841-5947-5947,2788
3841-10961fg,3841-5009946-10961fg,3841-9506-9506,132
3841-10961fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,2788
3841-10961fg,3841-6007296-10961fg,3841-5009946-10961fg,3592
3841-10961fg,3841-6077616-6077616,3835-6077616-6077616,20
3841-10961fg,3841-9506-9506,3811-9506-9506,132
3841-10974fg,3841-6043157-10974fg,Terminal_3841-6043157-10974fg_Terminal,38
3841-11091fg,3841-1864-1864,Terminal_3841-1864-1864_Terminal,1296
3841-11091fg,3841-1975-1975,Terminal_3841-1975-1975_Terminal,2470
3841-11091fg,3841-5010072-11091fg,3841-1864-1864,1296
3841-11091fg,3841-5010072-11091fg,3841-1975-1975,2470
3841-11091fg,3841-5010072-11091fg,3841-5947-5947,8004
3841-11091fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,8004
3841-11091fg,3841-6079542-11091fg,3841-5010072-11091fg,11770
3841-11326fg,3803-12028-12028,Terminal_3803-12028-12028_Terminal,18
3841-11326fg,3803-8629-8629,3811-8629-8629,3
3841-11326fg,3803-8629-8629,Terminal_3803-8629-8629_Terminal,27
3841-11326fg,3803-9000-9000,Terminal_3803-9000-9000_Terminal,1
3841-11326fg,3811-8629-8629,Terminal_3811-8629-8629_Terminal,3
3841-11326fg,3835-15808-15808,Terminal_3835-15808-15808_Terminal,2
3841-11326fg,3835-5002828-5002828,3835-15808-15808,2
3841-11326fg,3835-5002828-5002828,3835-5947-5947,30
3841-11326fg,3835-5002828-5002828,3835-6-6,34
3841-11326fg,3835-5002828-5002828,3835-6762-6762,46
3841-11326fg,3835-5002828-5002828,3835-9247-9247,2
3841-11326fg,3835-5002828-5002828,3835-9510-9510,1
3841-11326fg,3835-5947-5947,Terminal_3835-5947-5947_Terminal,30
3841-11326fg,3835-6-6,Terminal_3835-6-6_Terminal,34
3841-11326fg,3835-6077633-6077633,3835-5002828-5002828,115
3841-11326fg,3835-6762-6762,Terminal_3835-6762-6762_Terminal,46
3841-11326fg,3835-9247-9247,Terminal_3835-9247-9247_Terminal,2
3841-11326fg,3835-9510-9510,Terminal_3835-9510-9510_Terminal,1
3841-11326fg,3841-12028-12028,3803-12028-12028,18
3841-11326fg,3841-12367-12367,Terminal_3841-12367-12367_Terminal,7
3841-11326fg,3841-1661-1661,Terminal_3841-1661-1661_Terminal,210
3841-11326fg,3841-2502-2502,Terminal_3841-2502-2502_Terminal,174
3841-11326fg,3841-2902-2902,3841-6077633-6077633,115
3841-11326fg,3841-5010191-11326fg,3841-12028-12028,18
3841-11326fg,3841-5010191-11326fg,3841-12367-12367,7
3841-11326fg,3841-5010191-11326fg,3841-1661-1661,210
3841-11326fg,3841-5010191-11326fg,3841-2502-2502,174
3841-11326fg,3841-5010191-11326fg,3841-2902-2902,115
3841-11326fg,3841-5010191-11326fg,3841-8629-8629,30
3841-11326fg,3841-5010191-11326fg,3841-9000-9000,1
3841-11326fg,3841-5010191-11326fg,3841-9527-9527,1316
3841-11326fg,3841-6043278-11326fg,3841-5010191-11326fg,897
3841-11326fg,3841-6043281-11326fg,3841-5010191-11326fg,974
3841-11326fg,3841-6077633-6077633,3835-6077633-6077633,115
3841-11326fg,3841-8629-8629,3803-8629-8629,30
3841-11326fg,3841-9000-9000,3803-9000-9000,1
3841-11326fg,3841-9527-9527,Terminal_3841-9527-9527_Terminal,1316
3841-12109fg,3841-6114049-12109fg,Terminal_3841-6114049-12109fg_Terminal,17250
3841-12116fg,3841-6092486-12116fg,Terminal_3841-6092486-12116fg_Terminal,1250
3841-1258fg,3835-24325-24325,Terminal_3835-24325-24325_Terminal,328
3841-1258fg,3835-2502-2502,Terminal_3835-2502-2502_Terminal,2
3841-1258fg,3835-5023547-5023547,3835-24325-24325,328
3841-1258fg,3835-5023547-5023547,3835-2502-2502,2
3841-1258fg,3835-5023547-5023547,3835-5947-5947,30
3841-1258fg,3835-5023547-5023547,3835-9510-9510,14
3841-1258fg,3835-5023547-5023547,3835-9570-9570,194
3841-1258fg,3835-5947-5947,Terminal_3835-5947-5947_Terminal,30
3841-1258fg,3835-6107648-6107648,3835-5023547-5023547,568
3841-1258fg,3835-9510-9510,Terminal_3835-9510-9510_Terminal,14
3841-1258fg,3835-9570-9570,Terminal_3835-9570-9570_Terminal,194
3841-1258fg,3841-24113-24113,3841-6107648-6107648,568
3841-1258fg,3841-3454-3454,Terminal_3841-3454-3454_Terminal,14640
3841-1258fg,3841-5001257-1258fg,3841-3454-3454,14640
3841-1258fg,3841-5001257-1258fg,3841-8594-8594,1260
3841-1258fg,3841-5007683-8594fg,3841-24113-24113,568
3841-1258fg,3841-5007683-8594fg,3841-9570-9570,692
3841-1258fg,3841-6038790-1258fg,3841-5001257-1258fg,10600
3841-1258fg,3841-6101429-1258fg,3841-5001257-1258fg,5300
3841-1258fg,3841-6107648-6107648,3835-6107648-6107648,568
3841-1258fg,3841-8594-8594,3841-5007683-8594fg,1260
3841-1258fg,3841-9570-9570,Terminal_3841-9570-9570_Terminal,692
3841-13000fg,3841-6043354-13000fg,Terminal_3841-6043354-13000fg_Terminal,10148
3841-1333fg,3803-1333-1333,Terminal_3803-1333-1333_Terminal,4312
3841-1333fg,3841-1333-1333,3803-1333-1333,4312
3841-1333fg,3841-6038862-1333fg,3841-1333-1333,4312
3841-13410fg,3841-1975-1975,Terminal_3841-1975-1975_Terminal,25156
3841-13410fg,3841-5011964-13410fg,3841-1975-1975,25156
3841-13410fg,3841-5011964-13410fg,3841-5947-5947,5944
3841-13410fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,5944
3841-13410fg,3841-6003564-13410fg,3841-5011964-13410fg,4100
3841-13410fg,3841-6079634-13410fg,3841-5011964-13410fg,27000
3841-13515fg,3803-2003-2003,Terminal_3803-2003-2003_Terminal,1455
3841-13515fg,3803-3374-3374,Terminal_3803-3374-3374_Terminal,637
3841-13515fg,3841-1697-1697,Terminal_3841-1697-1697_Terminal,3697
3841-13515fg,3841-2003-2003,3803-2003-2003,1455
3841-13515fg,3841-3374-3374,3803-3374-3374,637
3841-13515fg,3841-3374-3374,Terminal_3841-3374-3374_Terminal,2616
3841-13515fg,3841-5012059-13515fg,3841-1697-1697,3697
3841-13515fg,3841-5012059-13515fg,3841-2003-2003,1455
3841-13515fg,3841-5012059-13515fg,3841-3374-3374,3253
3841-13515fg,3841-5012059-13515fg,3841-5947-5947,2099
3841-13515fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,2099
3841-13515fg,3841-6043376-13515fg,3841-5012059-13515fg,10053
3841-13515fg,3841-6043380-13515fg,3841-5012059-13515fg,451
3841-13540fg,3811-3023-3023,Terminal_3811-3023-3023_Terminal,2
3841-13540fg,3811-5012081-13540fg,3811-3023-3023,2
3841-13540fg,3811-5012081-13540fg,3811-6005736-6005736,15
3841-13540fg,3811-5012081-13540fg,3811-9479-9479,2
3841-13540fg,3811-5012081-13540fg,3811-9570-9570,759
3841-13540fg,3811-6005736-6005736,Terminal_3811-6005736-6005736_Terminal,15
3841-13540fg,3811-6043398-13540fg,3811-6080286-6080286,627
